DateCreateIndicHopTension,ValeurIndicHopTension
2019-12-19,1387.513888888889
2019-12-20,1340.2291666666667
2019-12-21,1200.4895833333333
2019-12-22,1196.267361111111
2019-12-23,1241.695652173913
2019-12-24,1167.46875
2019-12-25,1089.4756944444443
2019-12-26,1157.482638888889
2019-12-27,1192.4027777777778
2019-12-28,1154.4618055555557
2019-12-29,1183.15625
2019-12-30,1251.875
2019-12-31,1189.138888888889
2020-01-01,1137.5277777777778
2020-01-02,1212.7777777777778
2020-01-03,1208.9027777777778
2020-01-04,1141.329861111111
2020-01-05,1150.6875
2020-01-06,1285.625874125874
2020-01-07,1383.6
2020-01-08,1322.344262295082
2020-01-09,1333.6041666666667
2020-01-10,1320.5347222222222
2020-01-11,1218.861111111111
2020-01-12,1224.2708333333333
2020-01-13,1353.6062717770037
2020-01-14,1385.6284722222222
2020-01-15,1368.8229166666667
2020-01-16,1358.423611111111
2020-01-17,1310.1979166666667
2020-01-18,1203.5729166666667
2020-01-19,1218.4444444444443
2020-01-20,1335.3854166666667
2020-01-21,1386.7605633802816
2020-01-22,1382.3076923076924
2020-01-23,1381.0
2020-01-24,1348.6770833333333
2020-01-25,1231.454861111111
2020-01-26,1227.1527777777778
2020-01-27,1346.7881944444443
2020-01-28,1364.1875
2020-01-29,1391.4479166666667
2020-01-30,1388.2083333333333
2020-01-31,1342.7395833333333
2020-02-01,1233.951388888889
2020-02-02,1210.8680555555557
2020-02-03,1327.3402777777778
2020-02-04,1355.5104166666667
2020-02-05,1358.0069444444443
2020-02-06,1384.9340277777778
2020-02-07,1347.1215277777778
2020-02-08,1221.9583333333333
2020-02-09,1209.826388888889
2020-02-10,1328.1666666666667
2020-02-11,1360.9131944444443
2020-02-12,1365.6597222222222
2020-02-13,1359.5104166666667
2020-02-14,1321.076388888889
2020-02-15,1234.28125
2020-02-16,1235.5416666666667
2020-02-17,1320.75
2020-02-18,1322.7291666666667
2020-02-19,1299.2465277777778
2020-02-20,1293.9305555555557
2020-02-21,1248.375
2020-02-22,1170.3680555555557
2020-02-23,1177.8159722222222
2020-02-24,1275.0416666666667
2020-02-25,1277.6875
2020-02-26,1280.0833333333333
2020-02-27,1288.767361111111
2020-02-28,1268.579861111111
2020-02-29,1167.9409722222222
2020-03-01,1183.6770833333333
2020-03-02,1289.8854166666667
2020-03-03,1325.017361111111
2020-03-04,1321.454861111111
2020-03-05,1322.3506944444443
2020-03-06,1270.9722222222222
2020-03-07,1167.9444444444443
2020-03-08,1178.4166666666667
2020-03-09,1290.2465277777778
2020-03-10,1294.295138888889
2020-03-11,1292.1319444444443
2020-03-12,1306.6215277777778
2020-03-13,1230.6493055555557
2020-03-14,1094.5104166666667
2020-03-15,1106.5833333333333
2020-03-16,1170.8368055555557
2020-03-17,1127.986111111111
2020-03-18,1090.545138888889
2020-03-19,1056.2152777777778
2020-03-20,1003.6284722222222
2020-03-21,922.7465277777778
2020-03-22,919.9548611111112
2020-03-23,960.5208333333334
2020-03-24,967.7395833333334
2020-03-25,945.7847222222222
2020-03-26,944.7847222222222
2020-03-27,924.6041666666666
2020-03-28,873.34375
2020-03-29,882.5415162454874
2020-03-30,942.3645833333334
2020-03-31,953.40625
2020-04-01,952.1631944444443
2020-04-02,942.0868055555557
2020-04-03,932.0416666666666
2020-04-04,890.65625
2020-04-05,906.2326388888888
2020-04-06,950.5208333333334
2020-04-07,966.3368055555557
2020-04-08,993.6458333333334
2020-04-09,997.8888888888888
2020-04-10,972.4548611111112
2020-04-11,936.4479166666666
2020-04-12,935.0798611111112
2020-04-13,952.1840277777778
2020-04-14,991.9236111111112
2020-04-15,1003.5208333333334
2020-04-16,1003.5208333333334
2020-04-17,984.5104166666666
2020-04-18,937.5590277777778
2020-04-19,938.2916666666666
2020-04-20,1005.5243055555557
2020-04-21,1021.4340277777778
2020-04-22,1032.4722222222222
2020-04-23,1024.829861111111
2020-04-24,1007.2638888888888
2020-04-25,973.5659722222222
2020-04-26,981.9826388888888
2020-04-27,1049.5520833333333
2020-04-28,1079.798611111111
2020-04-29,1087.9270833333333
2020-04-30,1065.298611111111
2020-05-01,1006.2569444444443
2020-05-02,1005.5416666666666
2020-05-03,1021.8194444444443
2020-05-04,1092.7222222222222
2020-05-05,1111.2777777777778
2020-05-06,1118.5034722222222
2020-05-07,1108.548611111111
2020-05-08,1025.857638888889
2020-05-09,1015.6944444444443
2020-05-10,1036.0
2020-05-11,1101.263888888889
2020-05-12,1140.7881944444443
2020-05-13,1164.0069444444443
2020-05-14,1187.6493055555557
2020-05-15,1164.3229166666667
2020-05-16,1083.204861111111
2020-05-17,1098.8958333333333
2020-05-18,1179.767361111111
2020-05-19,1201.673611111111
2020-05-20,1204.0694444444443
2020-05-21,1124.642361111111
2020-05-22,1117.642361111111
2020-05-23,1046.1180555555557
2020-05-24,1066.90625
2020-05-25,1175.8055555555557
2020-05-26,1211.388888888889
2020-05-27,1193.9618055555557
2020-05-28,1218.2465277777778
2020-05-29,1177.4131944444443
2020-05-30,1073.8854166666667
2020-05-31,1069.8645833333333
2020-06-01,1088.388888888889
2020-06-02,1183.1215277777778
2020-06-03,1199.0069444444443
2020-06-04,1221.4583333333333
2020-06-05,1194.2465277777778
2020-06-06,1099.9479166666667
2020-06-07,1107.1215277777778
2020-06-08,1200.6597222222222
2020-06-09,1241.4409722222222
2020-06-10,1250.6875
2020-06-11,1280.5416666666667
2020-06-12,1251.5243055555557
2020-06-13,1125.048611111111
2020-06-14,1124.7256944444443
2020-06-15,1227.7083333333333
2020-06-16,1273.9479166666667
2020-06-17,1254.1805555555557
2020-06-18,1272.2430555555557
2020-06-19,1239.0659722222222
2020-06-20,1151.048611111111
2020-06-21,1151.6631944444443
2020-06-22,1245.5416666666667
2020-06-23,1262.03125
2020-06-24,1260.0034722222222
2020-06-25,1288.201388888889
2020-06-26,1246.670138888889
2020-06-27,1148.1666666666667
2020-06-28,1154.6284722222222
2020-06-29,1240.9409722222222
2020-06-30,1275.138888888889
2020-07-01,1298.5208333333333
2020-07-02,1312.236111111111
2020-07-03,1262.1709090909092
2020-07-04,1149.361111111111
2020-07-05,1153.1493055555557
2020-07-06,1260.1979166666667
2020-07-07,1280.40625
2020-07-08,1274.1666666666667
2020-07-09,1245.4409722222222
2020-07-10,1214.8159722222222
2020-07-11,1114.6840277777778
2020-07-12,1105.34375
2020-07-13,1168.3819444444443
2020-07-14,1116.545138888889
2020-07-15,1214.513888888889
2020-07-16,1243.6215277777778
2020-07-17,1246.3541666666667
2020-07-18,1143.1770833333333
2020-07-19,1152.9583333333333
2020-07-20,1232.1215277777778
2020-07-21,1210.7118055555557
2020-07-22,1224.0625
2020-07-23,1225.9375
2020-07-24,1204.1145833333333
2020-07-25,1144.5590277777778
2020-07-26,1151.2847222222222
2020-07-27,1204.1979166666667
2020-07-28,1215.0833333333333
2020-07-29,1211.8819444444443
2020-07-30,1211.5277777777778
2020-07-31,1181.9375
2020-08-01,1108.1666666666667
2020-08-02,1113.3194444444443
2020-08-03,1178.888888888889
2020-08-04,1191.7430555555557
2020-08-05,1176.9965277777778
2020-08-06,1165.2881944444443
2020-08-07,1135.1944444444443
2020-08-08,1084.78125
2020-08-09,1095.1284722222222
2020-08-10,1166.201388888889
2020-08-11,1168.5208333333333
2020-08-12,1177.6805555555557
2020-08-13,1173.4652777777778
2020-08-14,1140.2881944444443
2020-08-15,1056.232638888889
2020-08-16,1073.361111111111
2020-08-17,1164.71875
2020-08-18,1173.0416666666667
2020-08-19,1156.5243055555557
2020-08-20,1177.361111111111
2020-08-21,1134.9097222222222
2020-08-22,1067.826388888889
2020-08-23,1075.423611111111
2020-08-24,1176.923611111111
2020-08-25,1210.8958333333333
2020-08-26,1210.9340277777778
2020-08-27,1242.079861111111
2020-08-28,1229.5104166666667
2020-08-29,1163.361111111111
2020-08-30,1158.5833333333333
2020-08-31,1251.7118055555557
2020-09-01,1314.5208333333333
2020-09-02,1320.5833333333333
2020-09-03,1324.6006944444443
2020-09-04,1279.451388888889
2020-09-05,1155.34375
2020-09-06,1174.2534722222222
2020-09-07,1270.513888888889
2020-09-08,1295.482638888889
2020-09-09,1300.4305555555557
2020-09-10,1309.1631944444443
2020-09-11,1252.4618055555557
2020-09-12,1141.9722222222222
2020-09-13,1155.9583333333333
2020-09-14,1266.5243055555557
2020-09-15,1313.5902777777778
2020-09-16,1343.7291666666667
2020-09-17,1346.5243055555557
2020-09-18,1282.09375
2020-09-19,1156.0
2020-09-20,1156.357638888889
2020-09-21,1259.076388888889
2020-09-22,1299.2826086956522
2020-09-23,1338.2465277777778
2020-09-24,1339.0659722222222
2020-09-25,1298.2881944444443
2020-09-26,1181.5347222222222
2020-09-27,1181.1631944444443
